pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set	shannon
1	1	X1P1N1ACD4	4	1A	1	X1	Colon	control	1208	1	1/29/2016	M	5.6	4	1A	D4_Colon_control	2.27784705882022
2	1	X1P1N1AFD0	0	1A	1	X1	Feces	control	1208	1	1/29/2016	M	5.6	4	1A	D0_Feces_control	3.48819530918346
3	1	X1P1N1AFD4	4	1A	1	X1	Feces	control	1208	1	1/29/2016	M	5.6	4	1A	D4_Feces_control	4.31213093872153
4	2	X1P2N1AFD0	0	1A	1	X1	Feces	control	1211	2	1/30/2013	M	3	4	1A	D0_Feces_control	2.98507421872184
5	2	X1P2N1AFD4	4	1A	1	X1	Feces	control	1211	2	1/30/2013	M	3	4	1A	D4_Feces_control	4.09020805253719
6	3	X1P3N1ACD4	4	1A	1	X1	Colon	control	1207	2	1/28/2016	M	8.3	4	1A	D4_Colon_control	3.47039852968006
7	3	X1P3N1AFD4	4	1A	1	X1	Feces	control	1207	2	1/28/2016	M	8.3	4	1A	D4_Feces_control	3.84240318108567
8	4	X1P4N1ACD4	4	1A	1	X1	Colon	control	1212	3	1/31/2016	M	4.7	4	1A	D4_Colon_control	3.76738869081385
9	4	X1P4N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	M	4.7	4	1A	D0_Feces_control	3.85743276776728
10	4	X1P4N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	M	4.7	4	1A	D4_Feces_control	3.91903982949518
11	5	X1P5N1BCD14	14	1B	1	X1	Colon	control	1209	3	1/30/2016	M	7.6	4	1B	D14_Colon_control	3.64690331246002
12	5	X1P5N1BFD0	0	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D0_Feces_control	4.01477134319472
13	5	X1P5N1BFD11	11	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D11_Feces_control	4.65007321569932
14	5	X1P5N1BFD14	14	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D14_Feces_control	3.85943325336465
15	5	X1P5N1BFD4	4	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D4_Feces_control	4.23740055370265
16	5	X1P5N1BFD7	7	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D7_Feces_control	4.71214988163989
17	6	X1P6N1BFD0	0	1B	1	X1	Feces	control	1215	4	1/27/2016	F	4.3	4	1B	D0_Feces_control	4.2393319158366
18	6	X1P6N1BFD4	4	1B	1	X1	Feces	control	1215	4	1/27/2016	F	4.3	4	1B	D4_Feces_control	4.01998350897852
19	7	X1P7N1BCD4	4	1B	1	X1	Colon	control	1214	4	1/30/2016	F	3.4	4	1B	D4_Colon_control	4.11135642669169
20	7	X1P7N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	F	3.4	4	1B	D4_Feces_control	4.22592033233451
21	8	X1P8N2ACD4	4	2A	2	X1	Colon	inject	1210	5	1/27/2016	M	5.8	4	2A	D4_Colon_inject	3.78471226496976
22	8	X1P8N2AFD0	0	2A	2	X1	Feces	inject	1210	5	1/27/2016	M	5.8	4	2A	D0_Feces_inject	3.48432133797596
23	8	X1P8N2AFD4	4	2A	2	X1	Feces	inject	1210	5	1/27/2016	M	5.8	4	2A	D4_Feces_inject	3.60091558053108
24	9	X1P9N2ACD4	4	2A	2	X1	Colon	inject	1213	5	1/29/2016	F	5	4	2A	D4_Colon_inject	3.69457142714398
25	9	X1P9N2AFD4	4	2A	2	X1	Feces	inject	1213	5	1/29/2016	F	5	4	2A	D4_Feces_inject	4.06710542467801
26	10	X1P10N2AFD0	0	2A	2	X1	Feces	inject	1208	1	1/29/2016	M	2.7	4	2A	D0_Feces_inject	4.20183756225286
27	10	X1P10N2AFD4	4	2A	2	X1	Feces	inject	1208	1	1/29/2016	M	2.7	4	2A	D4_Feces_inject	4.29893727071227
28	11	X1P11N2ACD4	4	2A	2	X1	Colon	inject	1211	2	1/30/2013	F	4.6	4	2A	D4_Colon_inject	3.36650149328958
