Pig ID Numbers,Sow,Birth Room,DOB,Sex,Weight (Kg),Cassette #,Necropsy day ,Control/treatment,OTC/RS expt,Pen ,Notes
1,1208,1,1/29/2016,M,5.6,16:74,4,Control diet ,OTC,1A,
2,1211,2,1/30/2013,M,3,16:75,4,Control diet ,OTC,1A,
3,1207,2,1/28/2016,M,8.3,16:76,4,Control diet ,OTC,1A,
4,1212,3,1/31/2016,M,4.7,16:77,4,Control diet ,OTC,1A,
5,1209,3,1/30/2016,M,7.6,16:78,4,Control diet ,OTC,1B,
6,1215,4,1/27/2016,F,4.3,16:79,4,Control diet ,OTC,1B,room 4 scours/vomit
7,1214,4,1/30/2016,F,3.4,16:80,4,Control diet ,OTC,1B,room 4 scours/vomit
8,1210,5,1/27/2016,M,5.8,16:81,4,IM - OTC,OTC,2A,
9,1213,5,1/29/2016,F,5,16:82,4,IM - OTC,OTC,2A,
10,1208,1,1/29/2016,M,2.7,16:83,4,IM - OTC,OTC,2A,
11,1211,2,1/30/2013,F,4.6,16:84,4,IM - OTC,OTC,2A,
12,1207,2,1/28/2016,F,7.8,16:85,4,IM - OTC,OTC,2B,
13,1212,3,1/31/2016,F,5,16:86,4,IM - OTC,OTC,2B,
14,1209,3,1/30/2016,F,4.3,16:87,4,IM - OTC,OTC,2B,
15,1215,4,1/27/2016,F,6.1,16:88,4,In-feed -OTC,OTC,3A,room 4 scours/vomit
16,1214,4,1/30/2016,F,3.2,16:89,4,In-feed -OTC,OTC,3A,room 4 scours/vomit
17,1210,5,1/27/2016,M,3.4,16:90,4,In-feed -OTC,OTC,3A,
18,1213,5,1/29/2016,M,4.7,16:91,4,In-feed -OTC,OTC,3A,
19,1208,1,1/29/2016,F,5,16:92,4,In-feed -OTC,OTC,3B,
20,1211,2,1/30/2013,M,4.5,16:93,4,In-feed -OTC,OTC,3B,
21,1207,2,1/28/2016,M,7.6,16:94,4,In-feed -OTC,OTC,3B,
22,1212,3,1/31/2016,M,5.6,16:95,7,Control diet ,OTC,1A,
23,1209,3,1/30/2016,F,7.1,16:96,7,Control diet ,OTC,1A,
24,1215,4,1/27/2016,M,6.6,16:97,7,Control diet ,OTC,1A,room 4 scours/vomit
25,1214,4,1/30/2016,M,5.3,16:98,7,Control diet ,OTC,1B,room 4 scours/vomit
26,1210,5,1/27/2016,F,4.6,16:99,7,Control diet ,OTC,1B,
27,1213,5,1/29/2016,M,4.6,16:100,7,Control diet ,OTC,1B,
