Animal ID,Time Point,Serum,Nasal,Ileum,feces
1,D0,NF,NF,,
1,D1,NF,,,
1,D3,NF,,,
1,D4,NF,NF,NF,NF
2,D0,NF,NF,,
2,D1,NF,,,
2,D3,NF,,,
2,D4,NF,NF,NF,NF
3,D0,NF,NF,,
3,D1,NF,,,
3,D3,NF,,,
3,D4,NF,NF,NF,NF
4,D0,NF,NF,,
4,D1,NF,,,
4,D3,NF,,,
4,D4,NF,NF,NF,NF
5,D0,NF,NF,,
5,D1,NF,,,
5,D3,NF,,,
50,D4,NF,1.4,NF,NF
5,D7,NF,NF,,
5,D9,NF,,,<20
5,D11,NF,NF,,<20
5,D14,NF,NF,,<20
6,D0,NF,NF,,
6,D1,NF,,,
6,D3,NF,,,
6,D4,NF,1.8,NF,NF
7,D0,NF,NF,,
7,D1,NF,,,
7,D3,NF,,,
7,D4,NF,2.8,NF,NF
8,D0,NF,NF,,
8,D1,1681.7,,,
8,D3,306.5,,,
8,D4,121.3,NF,159.8,1888.9
9,D0,NF,NF,,
9,D1,1857.9,,,
9,D3,383.5,,,
9,D4,145.8,5.1,244.6,4750.4
10,D0,NF,NF,,
10,D1,3370.4,,,
10,D3,504.2,,,
10,D4,166.9,NF,340.5,4685.9
11,D0,NF,NF,,
11,D1,1391.8,,,
11,D3,325.8,,,
11,D4,183.2,2.5,392.9,2833.4
12,D0,NF,NF,,
12,D1,1271.3,,,
12,D3,165.7,,,
12,D4,,7,101.7,1993.4
13,D0,NF,NF,,
13,D1,1734.6,,,
13,D3,139.6,,,
13,D4,71.9,7.7,90.6,653.9
14,D0,NF,NF,,
14,D1,1590,,,
14,D4,225.3,7,355.4,6257.6
15,D0,NF,NF,,
15,D1,105.3,,,
15,D3,82.2,,,
15,D4,63.8,148.9,4075,85265.2
16,D0,,NF,,
16,D1,92.5,,,
16,D3,91.6,,,
16,D4,55,136.2,4321.2,107863.8
17,D0,NF,NF,,
17,D1,127.7,,,
17,D3,115.9,,,
17,D4,90.8,114.8,2853.5,84043.4
18,D0,NF,NF,,
18,D1,60.2,,,
18,D3,124.8,,,
18,D4,76.3,184.3,4955.1,84504.2
19,D0,NF,NF,,
19,D3,109,,,
19,D4,59.6,145.7,5151.5,101721.4
20,D0,NF,NF,,
20,D1,120.4,,,
20,D3,114.2,,,
20,D4,72.5,150.9,5888.1,73927.6
21,D0,NF,NF,,
21,D1,5.2,,,
21,D3,50.9,,,
21,D4,41.9,229.1,3943.8,146886.1
22,D0,NF,NF,,
22,D1,NF,,,
22,D3,NF,,,
22,D4,NF,NF,,
22,D7,NF,4,NF,NF
23,D0,NF,NF,,
23,D1,NF,,,
23,D3,NF,,,
23,D4,NF,<1,,
23,D7,NF,NF,NF,NF
24,D0,NF,NF,,
24,D1,NF,,,
24,D3,NF,,,
24,D4,NF,NF,,
24,D7,NF,2.6,NF,NF
25,D0,NF,NF,,
25,D1,<1.0,,,
25,D3,1,,,
25,D4,<1.0,NF,,
25,D7,2.1,NF,NF,NF
26,D0,1.9,NF,,
26,D1,2.5,,,
26,D3,1.8,,,
