Row,Column,Assay,Sample,Conc,Ct,Tm,Expected Tm,R2,Chi2,Straight R2,Efficiency,Multiple peaks,Outlier,Multimodal melt peaks,F0,Flags,S-DispenseTip,S-DropIndex,S-GlobalDropIndex,S-SP-Well,A-DispenseTip,A-DropIndex,A-GlobalDropIndex,A-SP-Well,Asymmetry,A,B,C,D,E,AmpRatio,Tm minus mean,Ct minus mean
1,48,16Snew_2_Rep1,P22o,-1,12.29657,83.45081,,0.9981799,704127.3,0.6602246,2.11548,FALSE,FALSE,FALSE,0.07581729,,,,,,,,,,6,3036.736,1.234224,14.922,13504.2,16.02736,5.446947,,
1,49,16Sold_1_Rep1,P22o,-1,11.72055,81.14946,,0.9998411,52766.83,0.7036265,2.013132,FALSE,FALSE,FALSE,0.2083205,,,,,,,,,,9,3543.688,1.314407,14.45157,12407.88,0.8546646,4.501402,,
1,50,aac6-is_iu_ix_419_Rep1,P22o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, CurveFitFailed",,,,,,,,,,,,,,,,,
1,51,aphA3_14_Rep1,P22o,-1,17.2617,78.83324,,0.9999679,8837.874,0.8214419,1.913889,FALSE,FALSE,FALSE,0.008323423,,,,,,,,,,7,4836.337,1.408184,20.11622,13313.55,-0.6734889,3.752817,,
1,52,tetB_181_Rep1,P22o,-1,28.12624,79.41239,,0.9999802,6266.111,0.6554648,1.948967,FALSE,FALSE,FALSE,2.55E-06,,,,,,,,,,11,3825.691,1.372926,30.93433,15558.73,22.5183,5.066908,,
1,53,tetG_F_507_Rep1,P22o,-1,33.8935,87.10634,,0.9999382,10765.92,0.4212296,1.867163,FALSE,FALSE,FALSE,1.54E-07,CtIsLarge,,,,,,,,,11,2711.954,1.459327,36.81537,13947.05,17.91556,6.142804,,
1,54,IncP_oriT_342_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
1,55,IncQ_oriT_343_Rep1,P22o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, CurveFitFailed",,,,,,,,,,,,,,,,,
1,56,int1-a-marko_336_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
1,57,intI1F165_clinical_359_Rep1,P22o,-1,30.23952,86.84807,,0.9998242,33157.68,0.5814511,2.003947,FALSE,FALSE,FALSE,1.53E-07,CtIsLarge,,,,,,,,,7,2578.868,1.322351,32.981,10392.44,26.34207,5.029847,,
1,58,ant6-ib_1541_Rep1,P22o,-1,21.54319,75.1679,,0.9999722,13907.53,0.8095166,1.947943,FALSE,FALSE,FALSE,0.000364582,,,,,,,,,,7,2955.082,1.37392,24.35258,18180.94,13.70649,7.152431,,
1,59,aph2-Id_104_Rep1,P22o,-1,22.13107,75.29582,,0.9999442,17765.69,0.8062842,1.969101,FALSE,FALSE,FALSE,0.00015873,,,,,,,,,,8,2932.756,1.353778,24.91393,15599.03,14.43791,6.318898,,
5,48,tetM_1513_Rep1,P22o,-1,27.7947,78.21126,,0.9999633,11011.16,0.6717882,1.977429,FALSE,FALSE,FALSE,1.95E-06,,,,,,,,,,8,2915.602,1.346075,30.56742,14217.88,27.07205,5.876482,,
5,49,tetO_192_Rep1,P22o,-1,17.93699,78.28496,,0.9999521,12869.44,0.8241177,1.954689,FALSE,FALSE,FALSE,0.00362845,,,,,,,,,,13,2714.456,1.367407,20.73781,14000.44,12.72162,6.157735,,
5,50,tet32_54_Rep1,P22o,-1,19.42201,80.37752,,0.9999648,9994.778,0.8249125,1.946973,FALSE,FALSE,FALSE,0.001281176,,,,,,,,,,15,2566.21,1.374864,22.23265,13505.04,10.86448,6.262639,,
5,51,tet40_500_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
5,52,tet44_1539_Rep1,P22o,-1,23.98703,77.59064,,0.9999083,21911.85,0.7734412,1.924864,FALSE,FALSE,FALSE,6.12E-05,,,,,,,,,,13,2313.952,1.396881,26.82667,13409.52,14.1554,6.79507,,
5,53,tetK_184_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
5,54,ermA-803_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
5,55,ermG_807_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
5,56,cfxA_106_Rep1,P22o,-1,25.06996,76.77453,,0.9999561,8733.989,0.7531961,1.966667,FALSE,FALSE,FALSE,1.45E-05,,,,,,,,,,14,2548.636,1.356052,27.85582,12132.87,19.04033,5.760535,,
5,57,tetX_196_Rep1,P22o,-1,27.43963,75.47199,,0.9999214,33220.45,0.6777697,1.976687,FALSE,FALSE,FALSE,2.94E-06,,,,,,,,,,8,3138.294,1.346756,30.21325,16288.7,18.84781,6.190303,,
5,58,intl2_338_Rep1,P22o,-1,26.98516,80.35601,,0.9999624,8167.603,0.6950597,1.910041,FALSE,FALSE,FALSE,8.54E-06,,,,,,,,,,11,2267.275,1.412208,29.84497,12877.46,12.41513,6.679707,,
5,59,intl3_1522_Rep1,P22o,-1,24.23152,79.64408,,0.9999715,7100.011,0.7661819,1.878088,FALSE,FALSE,FALSE,9.06E-05,,,,,,,,,,16,2846.036,1.446908,27.13703,12663.98,10.44327,5.449689,,
11,48,ermB_804_Rep1,P22o,-1,20.54497,78.71979,,0.9999802,5474.076,0.8192764,1.92692,FALSE,FALSE,FALSE,0.000716896,,,,,,,,,,7,3151.97,1.394792,23.38186,13672.05,4.733407,5.33762,,
11,49,IncHI2-smr0018_1566_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
11,50,IncI1_repI1_1565_Rep1,P22o,-1,31.12744,81.20358,,0.9999837,3164.358,0.5337972,1.92967,FALSE,FALSE,FALSE,3.12E-07,CtIsLarge,,,,,,,,,11,3137.619,1.392011,33.96066,12290.09,14.90885,4.917013,,
11,51,IncN_rep_340_Rep1,P22o,,,,,,,,,,,,,"CtIsLarge, CurveFitFailed",,,,,,,,,,,,,,,,,
11,52,tetQ_185_Rep1,P22o,-1,17.50287,76.55643,,0.9998574,33431.08,0.8144251,2.008606,FALSE,FALSE,FALSE,0.00260239,,,,,,,,,,11,2282.84,1.318304,20.23902,12100.42,14.79436,6.3006,,
11,53,tetW_191_Rep1,P22o,-1,15.15418,81.17822,,0.9999344,18685.63,0.787048,1.946433,FALSE,FALSE,FALSE,0.03181319,,,,,,,,,,12,2658.22,1.375391,17.96551,14976.6,9.27541,6.63407,,
11,54,IS26_1546_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
11,55,ISEcp1_1550_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
11,56,oqxA_1577_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
11,57,sul2_133_Rep1,P22o,-1,27.15922,85.22065,,0.9999681,5380.626,0.6923267,1.925356,FALSE,FALSE,FALSE,5.40E-06,,,,,,,,,,10,2552.737,1.39638,29.99819,11534.15,13.92471,5.518344,,
11,58,lncF_FIC_1564_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
11,59,mobA_1524_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,48,tnpA_202_Rep1,P22o,-1,30.88714,81.99087,,0.9999734,6136.096,0.5541954,1.902359,FALSE,FALSE,FALSE,6.20E-07,CtIsLarge,,,,,,,,,5,2936.592,1.420339,33.75767,13015.03,21.33309,5.432018,,
15,49,ant6-ia_431_Rep1,P22o,-1,22.19572,79.13197,,0.999962,13589.42,0.809889,1.88738,FALSE,FALSE,FALSE,0.000391939,,,,,,,,,,6,3278.922,1.436574,25.08763,15049.62,13.20462,5.589808,,
15,50,tetL_195_Rep1,P22o,-1,28.48705,78.32334,,0.9996366,109795.9,0.6509981,2.022308,FALSE,FALSE,FALSE,5.73E-07,,,,,,,,,,8,3274.815,1.306604,31.2078,13530.56,27.46157,5.131701,,
15,51,tnpA_203_Rep1,P22o,-1,28.30552,84.7345,,0.9999693,8169.526,0.6603132,1.860338,FALSE,FALSE,FALSE,7.51E-06,,,,,,,,,,4,3349.383,1.467238,31.23781,13236.22,15.70275,4.951839,,
15,52,traN_1525_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,53,blaROB_41_Rep1,P22o,-1,27.29999,80.4239,,0.9999945,1567.349,0.6816577,1.915828,FALSE,FALSE,FALSE,6.56E-06,,,,,,,,,,9,3539.286,1.406169,30.15185,13464.1,9.703481,4.804185,,
15,54,pAKD1-IncP-1?_380_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,55,pBS228-IncP-1?_381_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,56,blaCTX-M_162_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,57,IS91_1567_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,58,ISCR1_1528_Rep1,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
15,59,tnpA_206_Rep1,P22o,-1,26.81397,77.49633,,0.9999799,5821.021,0.6964262,1.97273,FALSE,FALSE,FALSE,4.31E-06,,,,,,,,,,8,2910.869,1.350406,29.5924,14182.83,13.02058,5.872371,,
21,48,16Snew_2_Rep2,P22o,-1,11.30144,83.41563,,0.996078,2477423,0.6160774,2.184178,FALSE,FALSE,FALSE,0.1356983,,,,,,,,,,5,3695.078,1.187716,13.86562,15944.46,28.84133,5.315054,,
21,49,16Sold_1_Rep2,P22o,-1,11.53513,81.04731,,0.9996901,123000.6,0.7035823,2.008189,FALSE,FALSE,FALSE,0.2675591,,,,,,,,,,8,3691.763,1.318665,14.27175,13419.78,1.02676,4.63506,,
21,50,aac6-is_iu_ix_419_Rep2,P22o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, SaturationBaselineRatioIsLow, CurveFitFailed",,,,,,,,,,,,,,,,,
21,51,aphA3_14_Rep2,P22o,-1,17.47,78.65095,,0.9999697,7933.427,0.8278125,1.940429,FALSE,FALSE,FALSE,0.005435185,,,,,,,,,,10,4728.278,1.381279,20.28909,13013.76,15.00976,3.752324,,
21,52,tetB_181_Rep2,P22o,-1,26.52853,79.24718,,0.9999828,6037.086,0.7139097,1.945265,FALSE,FALSE,FALSE,8.32E-06,,,,,,,,,,7,3599.976,1.37653,29.34136,15036.51,27.36089,5.176836,,
21,53,tetG_F_507_Rep2,P22o,-1,33.84221,85.17205,,0.9998718,29415.94,0.4324914,1.872403,FALSE,FALSE,FALSE,1.63E-07,CtIsLarge,,,,,,,,,10,3723.919,1.453334,36.75619,15709.53,27.1219,5.218547,,
21,54,IncP_oriT_342_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
21,55,IncQ_oriT_343_Rep2,P22o,,,,,,,,,,,,,"LowEfficiency, CtIsSmall, CurveFitFailed",,,,,,,,,,,,,,,,,
21,56,int1-a-marko_336_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
21,57,intI1F165_clinical_359_Rep2,P22o,,,,,,,,,,,,,"CtIsLarge, MultipleMeltPeaks",,,,,,,,,,,,,,,,,
21,58,ant6-ib_1541_Rep2,P22o,-1,21.24596,75.09435,,0.9999807,10023.11,0.8117483,1.965178,FALSE,FALSE,FALSE,0.000362202,,,,,,,,,,6,3228.333,1.35745,24.03366,17706.75,23.0136,6.484797,,
21,59,aph2-Id_104_Rep2,P22o,-1,21.85247,75.28094,,0.9999281,24529.13,0.8080089,1.975862,FALSE,FALSE,FALSE,0.000177969,,,,,,,,,,9,2934.134,1.347515,24.62709,15398.53,19.90103,6.248069,,
25,48,tetM_1513_Rep2,P22o,-1,26.17786,78.24146,,0.9998308,68645.91,0.7242557,2.143203,FALSE,FALSE,FALSE,8.55E-07,,,,,,,,,,9,3624.324,1.214828,28.77773,16589.69,35.15038,5.577319,,
25,49,tetO_192_Rep2,P22o,-1,16.91161,78.72266,,0.9999328,43469.77,0.8200991,1.962692,FALSE,FALSE,FALSE,0.01079637,,,,,,,,,,13,6920.708,1.359791,19.7024,21178.4,50.88341,4.06015,,
25,50,tet32_54_Rep2,P22o,-1,18.59575,80.49294,,0.9998637,68131.06,0.8269912,2.029492,FALSE,FALSE,FALSE,0.001322744,,,,,,,,,,15,4019.13,1.300586,21.30856,17253.48,65.06149,5.29284,,
25,51,tet40_500_Rep2,P22o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
