pairs	F.Model	R2	p.value	p.adjusted
D0_Feces_control vs D0_Feces_inject	0.996601770943137	0.03020316388522	0.435	0.435
D0_Feces_control vs D0_Feces_oral	1.15091722093532	0.0327421675429241	0.269	0.269
D0_Feces_inject vs D0_Feces_oral	0.598334924051102	0.0183547695133855	0.953	0.953
D4_Feces_control vs D4_Feces_inject	1.33170315327444	0.0314587662219168	0.088	0.088
D4_Feces_control vs D4_Feces_oral	2.96328186728183	0.0706160656512487	0.001	0.001
D4_Feces_inject vs D4_Feces_oral	1.8121316778274	0.0455170723459811	0.005	0.005
D7_Feces_control vs D7_Feces_inject	1.89786628252025	0.0634783186394085	0.019	0.019
D7_Feces_control vs D7_Feces_oral	3.78488023899257	0.122946076437828	0.001	0.001
D7_Feces_inject vs D7_Feces_oral	2.12078202822405	0.0728270973687647	0.007	0.007
D11_Feces_control vs D11_Feces_inject	1.12804167165558	0.0745662721017696	0.278	0.278
D11_Feces_control vs D11_Feces_oral	1.48996640654654	0.102827457617388	0.043	0.043
D11_Feces_inject vs D11_Feces_oral	1.40600459577063	0.0975985108448051	0.097	0.097
D14_Feces_control vs D14_Feces_inject	0.764979218473049	0.0518103823347041	0.755	0.755
D14_Feces_control vs D14_Feces_oral	1.40285725280227	0.0974013161540793	0.117	0.117
D14_Feces_inject vs D14_Feces_oral	1.27594787387302	0.0893774539628422	0.193	0.193
