day,tissue,Treatment,mean,n,sd,se
4,feces,NM,0,7,0,0
4,feces,Inject,3294.785714285714,7,1987.0226449209308,283.86037784584727
4,feces,Feed,97744.52857142857,7,24559.845805889086,3508.549400841298
7,feces,NM,0,7,0,0
7,feces,Inject,738.0428571428571,7,714.4368104951452,102.06240149930646
7,feces,Feed,71412.68333333333,6,30493.26345869964,5082.21057644994
9,feces,NM,15,8,9.258200997725515,1.1572751247156894
9,feces,Inject,453.8857142857143,7,410.98900807917573,58.712715439882246
9,feces,Feed,5029.671428571429,7,3875.9056781240547,553.7008111605793
11,feces,NM,17.5,8,7.0710678118654755,0.8838834764831844
11,feces,Inject,217.8125,8,197.43977336682408,24.67997167085301
11,feces,Feed,87.63333333333334,6,35.20759387783645,5.867932312972742
14,feces,NM,20,9,0,0
14,feces,Inject,91.9125,8,47.89674720539113,5.987093400673891
14,feces,Feed,37.98571428571429,7,14.147370612170137,2.0210529445957337
4,Ileum,NM,0,7,0,0
4,Ileum,Inject,240.78571428571428,7,125.62639622536112,17.946628032194447
4,Ileum,Feed,4455.457142857143,7,981.2760856101999,140.18229794431426
7,Ileum,NM,0,7,0,0
7,Ileum,Inject,54.385714285714286,7,41.86268937735321,5.980384196764745
7,Ileum,Feed,793.1666666666666,6,439.9099165359502,73.31831942265836
14,Ileum,NM,5,8,9.258200997725515,1.1572751247156894
14,Ileum,Inject,12.5,8,10.350983390135314,1.2938729237669142
14,Ileum,Feed,11.428571428571429,7,10.690449676496975,1.527207096642425
