Pignum,16Snew_2,16Sold_1,ant6-ia_431,ant6-ib_1541,aph2'-Id_104,aphA3_14,blaROB_41,cfxA_106,ermB_804,intl2_338,intl3_1522,IS91_1567,sul2_133,tet32_54,tet44_1539,tetB_181,tetL_195,tetM_1513,tetO_192,tetQ_185,tetW_191,tetX_196,tnpA_203,tnpA_206,Treatment
22,16.396545,16.12506,25.718415,25.551679999999998,25.568224999999998,20.22847,NA,23.408430000000003,25.42608,NA,27.309255,NA,NA,23.649610000000003,27.40957,NA,NA,NA,22.133719999999997,19.480674999999998,18.676745,26.80953,NA,24.40962,Control
23,15.626705000000001,14.919705,25.499795,27.76457,24.056350000000002,19.68414,NA,23.66081,23.86308,NA,26.82851,NA,NA,23.282294999999998,26.20695,27.40742,NA,26.987355,19.720194999999997,19.95647,18.387465,25.53385,NA,23.729574999999997,Control
24,17.092,15.620325,25.39642,NA,23.478435,20.147219999999997,NA,23.69751,25.28133,NA,NA,NA,NA,23.377305,27.75972,NA,27.86366,NA,20.53026,18.38583,18.541015,25.73195,NA,26.932814999999998,Control
25,NA,15.465274999999998,25.135955000000003,NA,22.401094999999998,18.97658,NA,26.049815000000002,24.367095,NA,NA,NA,NA,21.303265,NA,NA,NA,NA,22.305149999999998,18.96727,17.533425,23.36423,NA,NA,Control
26,16.9304,15.064065,25.681244999999997,NA,22.51652,20.60126,NA,25.45747,24.76709,NA,NA,NA,NA,22.206665,NA,NA,NA,NA,21.65158,19.384325,17.453339999999997,NA,NA,NA,Control
27,17.589235000000002,15.30869,26.36795,NA,22.046865,19.4013,NA,24.137030000000003,24.44709,NA,NA,NA,NA,21.31558,NA,NA,NA,NA,20.679175,20.482480000000002,17.877035,27.52947,NA,NA,Control
28,18.111515,15.711974999999999,23.83002,27.911065,23.49116,20.91828,NA,27.69592,23.72958,NA,NA,NA,NA,22.44708,NA,NA,25.90758,27.00508,21.766655,20.17499,18.448315,NA,NA,25.61537,Control
29,16.576169999999998,14.499575,25.296385,24.916595,23.14945,19.082115,NA,26.553115,22.04547,NA,NA,NA,NA,20.859395,25.62877,NA,NA,NA,20.542295,18.673685,16.269645,NA,NA,26.96778,Inject
30,16.11546,15.02565,24.475769999999997,27.41489,22.05414,18.866385,NA,24.713045,22.701275,NA,25.02807,NA,NA,23.575785,25.866525,27.34655,NA,27.35141,20.600209999999997,18.290095,17.07598,24.174335,NA,27.21717,Inject
31,16.796665,15.8905,26.193515,26.252045000000003,25.226775,21.11314,NA,24.206255,25.632260000000002,NA,27.39799,NA,NA,21.796595,25.511345,NA,NA,NA,21.093345,19.81995,18.126845,NA,26.03657,NA,Inject
32,15.39874,15.07063,24.7653,26.808525,22.449255,19.450969999999998,26.62504,22.885725,25.313814999999998,NA,27.96167,26.86966,NA,21.26536,NA,25.444585,26.84563,NA,20.51395,19.37117,17.86929,NA,NA,26.89439,Inject
33,16.24766,15.58877,26.744655,27.28322,22.539180000000002,21.120865000000002,NA,22.303625,22.656465,NA,26.3395,NA,NA,21.37874,23.442,NA,NA,NA,20.919764999999998,19.00062,17.693375,NA,NA,27.86757,Inject
34,15.72661,13.96572,23.456315,24.99032,20.237975,18.55487,27.71313,23.19958,24.054675,NA,25.318199999999997,NA,NA,19.743830000000003,25.65517,NA,NA,NA,20.279285,17.858435,15.99476,26.26296,NA,NA,Inject
35,16.67188,15.04102,22.77199,25.662840000000003,23.939529999999998,19.035625,NA,23.77001,22.080645,NA,27.83918,NA,NA,21.479495,27.245015000000002,NA,NA,NA,21.08124,20.083505,16.780594999999998,25.188325,NA,NA,Inject
