gene,day,mean_1/DCT,sd_1/DCT,n,se_1/DCT
ant6_ia_431,7,0.09971543516355179,0.010912706980245695,44,2.480160677328567e-4
ant6_ib_1541,7,0.09047431718587749,0.013268122166679983,44,3.015482310609087e-4
aph2_Id_104,7,0.13025641014904654,0.019425104431351578,44,4.414796461670813e-4
aphA3_14,7,0.21840002043588153,0.029154066993542123,44,6.625924316714119e-4
blaROB_41,7,0.07920084907600546,0.006078337095840415,44,1.38144024905464e-4
cfxA_106,7,0.1030042053971277,0.017722616598257177,44,4.027867408694813e-4
ermB_804,7,0.12008128986212294,0.017319978338254195,44,3.93635871323959e-4
intl2_338,7,0.0772624971595206,0.003484282914673656,44,7.918824806076491e-5
intl3_1522,7,0.08017748979656926,0.005769402610277045,44,1.3112278659720557e-4
IS91_1567,7,0.0787756410781467,0.007064453353440687,44,1.6055575803274288e-4
sul2_133,7,0.0779564707653832,0.004614707098817941,44,1.0487970679131684e-4
tet32_54,7,0.1582441528083134,0.021477013597530896,44,4.8811394539842944e-4
tet44_1539,7,0.08748473778506353,0.014439880003858988,44,3.2817909099679517e-4
tetB_181,7,0.08055109245489783,0.009053055501971552,44,2.0575126140844437e-4
tetL_195,7,0.07985769274891304,0.0056912390035549106,44,1.2934634098988432e-4
tetM_1513,7,0.07858957781131183,0.004015503959487937,44,9.126145362472584e-5
tetO_192,7,0.17453123169278295,0.023237368123682402,44,5.281220028109637e-4
tetQ_185,7,0.2404002407646249,0.05895368844761134,44,0.0013398565556275305
tetW_191,7,0.46834583909816446,0.11658996377282219,44,0.002649771903927777
tetX_196,7,0.08735487954448486,0.017188883183830925,44,3.906564359961574e-4
tnpA_203,7,0.07769567647268906,0.004874818834727354,44,1.107913371528944e-4
tnpA_206,7,0.08389962456894312,0.014450943311010845,44,3.28430529795701e-4
ant6_ia_431,14,0.1069659755719611,0.010347906096156012,23,4.499089607024353e-4
ant6_ib_1541,14,0.11076691011980556,0.012639202098912337,23,5.495305260396668e-4
aph2_Id_104,14,0.1644181751383248,0.024468797837605,23,0.0010638607755480436
aphA3_14,14,0.20769390649326844,0.032709099558766205,23,0.0014221347634246176
blaROB_41,14,0.07265181441808093,0.005079931066146671,23,2.208665680933335e-4
cfxA_106,14,0.11883742628354736,0.01722675422952452,23,7.489893143271531e-4
ermA_803,14,0.07266834665331422,0.0044561215493707325,23,1.9374441519003186e-4
ermB_804,14,0.1410761551434398,0.032938818412325425,23,0.0014321225396663228
int1_a_marko_336,14,0.0715656630798018,0.003737519748373671,23,1.6250085862494222e-4
intI1F165_clinical,14,0.07470319443842732,0.009561107098450422,23,4.1570030862827926e-4
intl2_338,14,0.07155894229808496,0.0036163882211271425,23,1.5723427048378882e-4
intl3_1522,14,0.07867058032880787,0.006742401776776497,23,2.9314790333810853e-4
IS26_1546,14,0.07142342359891622,0.0032177623947976515,23,1.399027128172892e-4
IS91_1567,14,0.07199233446318298,0.004266295773469307,23,1.8549112058562203e-4
ISEcp1_1550,14,0.07123373057482928,0.0029570839470327336,23,1.2856886726229276e-4
sul2_133,14,0.07134404740296356,0.0031138383787250026,23,1.3538427733586969e-4
tet32_54,14,0.17219288471832248,0.014778909198983602,23,6.425612695210262e-4
tet44_1539,14,0.1084489578485966,0.012229535173491932,23,5.317189205866058e-4
tetB_181,14,0.07299376308405713,0.004613713836911143,23,2.0059625377874535e-4
tetG_F,14,0.0731106675211707,0.007229587978774676,23,3.143299121206381e-4
tetL_195,14,0.08843031746546136,0.014251418484743058,23,6.196268906410025e-4
tetM_1513,14,0.08552726491301099,0.0138447343696215,23,6.019449725922391e-4
tetO_192,14,0.20938397436305495,0.021820573905207013,23,9.48720604574218e-4
tetQ_185,14,0.2992174100377725,0.056705920101653005,23,0.0024654747870283917
tetW_191,14,0.45590018812463,0.0707252335224478,23,0.0030750101531499046
tetX_196,14,0.09201102203536068,0.02160406577969981,23,9.393072078130352e-4
tnpA_203,14,0.07218055479054493,0.004190803389328488,23,1.8220884301428208e-4
tnpA_206,14,0.09083038511046013,0.020934252943192604,23,9.101849105735915e-4
